date,signal,short_mavg,long_mavg,PX_LAST,rets,ret_cum_actual,positions,loop,ret_cum,inten,trend_sum,trend_sum2,days,entry_track,entry_level,index_dummy,trend_length
2003-03-18,1.0,3.90530000000002,3.8952836363636334,3.9053,0.06689999999999996,-4.896699999999992,2.0,3.9053,0.0,-0.4485000000000001,-0.10380000000000011,0.0,0.0,2003-01-20 00:00:00,4.015,3236,41.0
2003-03-31,-1.0,3.7960000000000207,3.879325454545452,3.7960000000000003,-0.10159999999999947,-5.0059999999999905,-2.0,3.7960000000000003,0.0,0.19780000000000042,-0.10929999999999973,0.0,0.0,2003-03-19 00:00:00,3.9843,3245,8.0
2003-04-02,1.0,3.928500000000021,3.8720727272727253,3.9285,0.11900000000000022,-4.873499999999991,2.0,3.9285,0.0,0.013499999999999623,0.13249999999999984,0.0,0.0,2003-04-01 00:00:00,3.8095,3247,1.0
2003-04-30,-1.0,3.8359000000000205,3.8626963636363634,3.8359,-0.09079999999999977,-4.966099999999992,-2.0,3.8359,0.0,0.08550000000000013,-0.09260000000000002,0.0,0.0,2003-04-03 00:00:00,3.9092000000000002,3267,19.0
2003-05-02,1.0,3.9190000000000205,3.8612563636363633,3.919,0.07929999999999993,-4.882999999999992,2.0,3.919,0.0,0.0038000000000000256,0.08309999999999995,0.0,0.0,2003-05-01 00:00:00,3.8397,3269,1.0
2003-05-06,-1.0,3.7839000000000205,3.856816363636363,3.7839,-0.10020000000000007,-5.0180999999999925,-2.0,3.7839,0.0,-0.03489999999999993,-0.1351,0.0,0.0,2003-05-05 00:00:00,3.8841,3271,1.0
2003-07-01,1.0,3.547100000000019,3.535438181818179,3.5471,0.03379999999999983,-5.2548999999999975,2.0,3.5471,0.0,-0.6718000000000002,-0.23680000000000012,0.0,0.0,2003-05-07 00:00:00,3.675,3311,39.0
2003-09-17,-1.0,4.177700000000015,4.237932727272723,4.1777,-0.09719999999999995,-4.624299999999997,-2.0,4.1777,0.0,1.0522000000000005,0.6305999999999998,0.0,0.0,2003-07-02 00:00:00,3.5358,3367,55.0
2003-10-14,1.0,4.343900000000013,4.313483636363632,4.3439,0.09260000000000002,-4.458099999999997,2.0,4.3439,0.0,-0.24589999999999979,0.1661999999999999,0.0,0.0,2003-09-18 00:00:00,4.1622,3386,18.0
2003-10-22,-1.0,4.251300000000014,4.316807272727268,4.2513,-0.0907,-4.550699999999997,-2.0,4.2513,0.0,0.11540000000000017,-0.09260000000000002,0.0,0.0,2003-10-15 00:00:00,4.3974,3392,5.0
2003-10-30,1.0,4.342200000000013,4.304172727272723,4.3422,0.04760000000000009,-4.459799999999997,2.0,4.3422,0.0,0.06500000000000039,0.09090000000000042,0.0,0.0,2003-10-23 00:00:00,4.3163,3398,5.0
2003-10-31,-1.0,4.292700000000012,4.29988545454545,4.2927,-0.0495000000000001,-4.509299999999997,-2.0,4.2927,0.04760000000000009,,-0.0495000000000001,0.0,0.0,2003-10-31 00:00:00,4.2927,3399,0.0
2003-11-03,1.0,4.340300000000013,4.297759999999996,4.3403,0.04760000000000009,-4.461699999999997,2.0,4.3403,-0.0495000000000001,,0.04760000000000009,0.0,0.0,2003-11-03 00:00:00,4.3403,3400,0.0
2003-11-04,-1.0,4.294700000000012,4.29655636363636,4.2947,-0.04560000000000031,-4.507299999999997,-2.0,4.2947,0.04760000000000009,,-0.04560000000000031,0.0,0.0,2003-11-04 00:00:00,4.2947,3401,0.0
2003-11-05,1.0,4.352200000000013,4.295041818181815,4.3522,0.05750000000000011,-4.449799999999997,2.0,4.3522,-0.04560000000000031,,0.05750000000000011,0.0,0.0,2003-11-05 00:00:00,4.3522,3402,0.0
2003-11-13,-1.0,4.269000000000012,4.286150909090907,4.269,-0.12929999999999975,-4.532999999999997,-2.0,4.269,0.0,0.04859999999999953,-0.08319999999999972,0.0,0.0,2003-11-06 00:00:00,4.4081,3408,5.0
2003-11-26,1.0,4.24590000000001,4.245092727272725,4.2459,0.061799999999999855,-4.556099999999997,2.0,4.2459,0.0,-0.1269,-0.023100000000000342,0.0,0.0,2003-11-14 00:00:00,4.2171,3417,8.0
2003-12-05,-1.0,4.230300000000012,4.258376363636362,4.2303,-0.13470000000000049,-4.571699999999997,-2.0,4.2303,0.0,0.15640000000000054,-0.015600000000000058,0.0,0.0,2003-11-27 00:00:00,4.2459,3424,6.0
2003-12-08,1.0,4.267200000000013,4.259299999999999,4.2672,0.036900000000000155,-4.534799999999997,2.0,4.2672,-0.13470000000000049,,0.036900000000000155,0.0,0.0,2003-12-08 00:00:00,4.2672,3425,0.0
2003-12-11,-1.0,4.230200000000013,4.268003636363635,4.2302,-0.08579999999999988,-4.571799999999997,-2.0,4.2302,0.0,-0.08590000000000053,-0.03699999999999992,0.0,0.0,2003-12-09 00:00:00,4.3513,3428,2.0
2004-01-02,1.0,4.379400000000015,4.272805454545453,4.3794,0.13390000000000057,-4.4225999999999965,2.0,4.3794,0.0,-0.10459999999999958,0.14920000000000044,0.0,0.0,2003-12-12 00:00:00,4.2379,3444,15.0
2004-01-06,-1.0,4.271000000000013,4.2714363636363615,4.271,-0.10639999999999983,-4.530999999999997,-2.0,4.271,0.0,-0.002000000000000668,-0.1084000000000005,0.0,0.0,2004-01-05 00:00:00,4.3774,3446,1.0
2004-04-02,1.0,4.143500000000007,3.9571345454545415,4.1435,0.26490000000000036,-4.6585,2.0,4.1435,0.0,-0.5915999999999997,-0.1274999999999995,0.0,0.0,2004-01-07 00:00:00,4.2416,3509,62.0
2004-06-30,-1.0,4.5806000000000155,4.6491745454545415,4.5806000000000004,-0.10489999999999977,-4.2214,-2.0,4.5806000000000004,0.0,0.7262999999999993,0.43710000000000004,0.0,0.0,2004-04-05 00:00:00,4.2064,3572,62.0
2004-10-07,1.0,4.241600000000021,4.229692727272725,4.2416,0.02149999999999963,-4.560400000000001,2.0,4.2416,0.0,-0.6026000000000007,-0.3390000000000004,0.0,0.0,2004-07-01 00:00:00,4.5629,3643,70.0
2004-10-08,-1.0,4.128600000000022,4.224210909090906,4.1286,-0.11300000000000043,-4.673400000000002,-2.0,4.1286,0.02149999999999963,,-0.11300000000000043,0.0,0.0,2004-10-08 00:00:00,4.1286,3644,0.0
2004-11-05,1.0,4.172700000000024,4.112723636363634,4.1727,0.10109999999999975,-4.629300000000001,2.0,4.1727,0.0,-0.137,0.04410000000000025,0.0,0.0,2004-10-11 00:00:00,4.1305,3664,19.0
2004-12-08,-1.0,4.118300000000024,4.136179999999996,4.1183,-0.1023000000000005,-4.683700000000001,-2.0,4.1183,0.0,0.23360000000000003,-0.054400000000000226,0.0,0.0,2004-11-08 00:00:00,4.2158,3687,22.0
2004-12-09,1.0,4.166400000000024,4.138912727272723,4.1664,0.0481000000000007,-4.6356,2.0,4.1664,-0.1023000000000005,,0.0481000000000007,0.0,0.0,2004-12-09 00:00:00,4.1664,3688,0.0
2004-12-14,-1.0,4.121900000000023,4.146167272727269,4.1219,-0.025100000000000122,-4.6801,-2.0,4.1219,0.0,-0.12170000000000059,-0.044500000000000206,0.0,0.0,2004-12-10 00:00:00,4.1489,3691,2.0
2004-12-16,1.0,4.183600000000023,4.147103636363632,4.1836,0.10970000000000013,-4.6184,2.0,4.1836,0.0,-0.04800000000000004,0.06170000000000009,0.0,0.0,2004-12-15 00:00:00,4.0739,3693,1.0
2005-01-13,-1.0,4.163500000000023,4.204776363636361,4.1635,-0.07019999999999982,-4.6385000000000005,-2.0,4.1635,0.0,0.13839999999999986,-0.02010000000000023,0.0,0.0,2004-12-17 00:00:00,4.199,3713,19.0
2005-01-27,1.0,4.217900000000026,4.212232727272725,4.2179,0.02150000000000052,-4.5841,2.0,4.2179,0.0,0.04469999999999974,0.054400000000000226,0.0,0.0,2005-01-14 00:00:00,4.208,3723,9.0
2005-01-28,-1.0,4.139700000000026,4.211525454545452,4.1397,-0.07819999999999983,-4.6623,-2.0,4.1397,0.02150000000000052,,-0.07819999999999983,0.0,0.0,2005-01-28 00:00:00,4.1397,3724,0.0
2005-02-17,1.0,4.179400000000027,4.176689090909087,4.1794,0.027300000000000324,-4.6226,2.0,4.1794,0.0,-0.13919999999999977,0.039699999999999847,0.0,0.0,2005-01-31 00:00:00,4.128,3738,13.0
